accuracy_top5	accuracy_per_sequence	loss	global_step	accuracy
0.052737053	0.0	30.014748	0	0.0411349
0.9596034	0.37890625	1.3312758	5200	0.84896106
0.9823858	0.453125	1.1808448	10500	0.8787048
0.98713213	0.50911456	1.0752834	15800	0.8956861
0.981753	0.53255206	1.183446	21100	0.8957916
0.9912456	0.5963542	0.98586076	26400	0.92068344
0.9924059	0.6744792	0.85676306	31700	0.9322856
0.9830187	0.5260417	1.1157566	37000	0.9144605
0.98966354	0.60286456	1.0844842	42300	0.92363673
0.98713213	0.6067708	1.0190908	47600	0.92975426
0.99557006	0.70442706	0.8268077	52900	0.9409345
0.99725765	0.7239583	0.7433047	58200	0.9464192
0.99367154	0.68098956	0.9131136	63500	0.9457863
0.9860774	0.609375	0.9822027	68800	0.93207467
0.9860774	0.6041667	0.99183434	74100	0.9329185
0.98555005	0.6015625	1.0306089	79400	0.9372429
0.9893471	0.6197917	0.9603365	84700	0.9399852
0.9924059	0.6822917	0.896661	90000	0.94958335
0.98913616	0.66276044	0.8197749	95200	0.94388777
0.98270226	0.58723956	1.1476184	100500	0.937032
